,Размер,Вес,Сладость,Хрусткость,Сочность,Спелость,Кислотность,Качество
966,1.202,-0.363,-3.071,0.309,1.677,0.377,0.255,0
967,1.853,1.143,-0.657,3.643,-1.897,-1.128,-0.923,0
968,1.908,-2.776,-0.202,-0.803,3.121,-0.827,1.301,1
969,-2.052,-1.3,-1.013,1.788,-0.959,0.725,-1.615,0
970,-0.474,-1.634,-0.222,0.87,-1.758,0.638,-1.312,0
971,0.605,-1.545,-3.286,0.606,2.018,0.722,2.519,0
972,-1.253,-0.273,0.484,-0.137,0.231,-2.267,1.018,1
973,-1.022,-0.56,-0.275,2.982,-1.1,-2.238,-1.12,0
974,-0.57,-2.392,-1.14,2.662,3.453,-2.792,2.098,1
975,-0.978,-0.305,-1.862,0.184,3.302,0.728,2.745,0
976,2.886,-2.893,-5.958,-1.051,5.916,2.007,2.701,0
977,0.874,-0.179,-2.026,2.456,-1.157,0.545,0.629,0
978,-1.745,-2.074,-0.43,1.387,2.482,1.441,2.977,0
979,-2.663,-2.602,-0.059,2.154,0.094,1.553,4.037,0
980,-0.407,-0.438,-3.782,-0.577,2.942,2.842,-0.272,0
981,-0.34,-2.916,3.002,1.336,2.755,0.782,-1.08,1
982,-2.624,0.3,1.777,-0.854,2.239,0.705,-0.515,0
983,4.136,-2.058,-0.125,-2.002,4.248,0.85,4.394,1
984,-2.937,-0.577,-1.106,0.358,0.914,2.938,-0.952,0
985,-1.858,2.349,0.54,-0.566,1.61,-3.109,1.231,1
986,-0.932,-0.998,-2.15,0.048,1.812,1.614,1.353,0
987,1.139,-0.181,-3.11,0.347,2.565,0.354,0.125,0
988,0.418,-2.96,0.971,3.988,2.076,1.513,0.248,1
989,-3.406,-1.89,2.899,-1.035,1.435,0.524,-3.185,1
990,0.293,0.677,-1.473,2.477,-1.362,-0.129,0.004,0
991,0.352,0.255,-0.476,0.207,0.954,-3.094,5.588,0
992,0.548,0.489,-1.996,2.468,1.705,1.279,-0.628,0
993,-0.658,1.289,2.8,-1.655,-0.308,-2.5,2.878,1
994,1.438,-1.186,0.488,1.496,-1.07,-1.112,1.713,1
995,0.241,-0.555,-1.832,0.667,0.753,-0.222,-2.393,0
996,2.243,-4.079,-1.567,2.348,1.067,0.004,2.537,1
997,2.789,-0.35,-4.032,-0.076,2.113,0.115,-1.454,0
998,-1.327,-0.503,0.146,0.873,1.655,0.756,-0.777,0
999,-0.939,-0.17,-0.22,1.264,1.353,-0.144,1.229,0
1000,-1.451,-1.873,-0.743,1.982,-2.093,1.691,0.785,0
1001,-0.157,0.83,-3.272,1.227,-1.365,1.488,1.053,0
1002,-2.824,-0.451,1.082,0.834,2.472,-0.822,-2.699,1
1003,0.486,-4.695,-1.946,2.022,0.862,-0.643,-1.415,1
1004,0.177,-2.675,-3.969,1.414,-4.563,3.663,-0.162,0
1005,-2.026,-1.074,-0.565,-0.321,0.455,0.249,3.67,0
1006,-0.936,0.3,-1.944,1.197,-1.967,-0.662,-0.651,1
1007,-0.533,-1.605,-5.715,3.094,-3.303,2.255,-1.982,0
1008,0.617,-1.362,-2.621,-1.075,3.261,1.327,-0.805,0
1009,-0.037,-0.98,-0.986,-0.242,4.411,-1.871,1.971,1
1010,-3.944,-0.793,0.099,1.245,2.432,1.616,4.308,0
1011,-0.553,-1.485,1.178,-0.766,0.726,1.214,-3.316,1
1012,-0.374,-0.766,-2.418,-0.02,0.215,-0.589,3.543,0
1013,0.094,0.407,-0.39,2.531,-3.13,-0.322,-3.102,0
1014,-0.53,0.493,-1.335,-0.054,0.919,-0.616,-0.462,0
1015,2.461,-1.372,-4.433,3.067,-0.62,1.44,0.749,1
1016,0.209,-2.048,-1.249,2.054,-3.074,0.565,-0.91,0
1017,1.388,-2.54,-2.85,1.082,0.343,1.916,0.628,0
1018,1.932,-1.785,-0.05,0.777,0.099,2.415,-0.686,1
1019,0.546,0.455,2.024,0.251,-1.453,-1.617,1.221,0
1020,0.414,-1.217,-1.414,-0.184,-0.365,1.293,-2.125,0
1021,1.518,-2.032,-0.5,1.664,0.155,-0.389,3.793,1
1022,-2.091,0.4,-3.481,-0.596,1.388,4.548,-0.448,0
1023,-0.521,-5.414,-1.123,2.983,0.347,-2.104,-0.427,1
1024,-0.504,-0.423,1.655,-1.085,0.08,-1.755,2.046,1
1025,-3.658,-3.331,-2.033,0.276,3.933,4.955,2.831,0
1026,-1.395,-2.155,-2.938,2.307,-0.941,1.328,-3.125,0
1027,-0.267,-3.384,4.079,2.318,-1.938,-2.741,-1.966,0
1028,-0.987,1.65,-1.203,-0.819,0.464,0.711,-1.655,1
1029,-3.349,-2.208,2.573,1.36,0.873,0.626,-0.13,1
1030,1.74,-0.862,0.931,2.512,-0.072,1.473,-0.513,1
1031,-1.561,0.732,1.601,-1.348,0.456,0.833,-2.814,1
1032,0.274,-1.724,-0.376,0.817,0.992,-0.819,1.293,0
1033,-1.552,-0.569,-0.295,1.015,2.717,1.537,1.156,0
1034,-3.966,-0.493,2.153,2.135,0.051,0.846,1.901,0
1035,-2.403,-1.466,1.368,1.769,4.175,-0.856,-2.661,1
1036,-2.394,-1.021,-1.342,-0.9,0.296,4.508,-0.697,0
1037,-0.712,-1.114,-1.332,0.66,1.309,0.159,2.07,0
1038,-0.068,-1.512,-2.029,0.292,1.654,0.578,2.518,0
1039,2.123,-4.23,-0.239,2.112,2.866,-1.348,2.653,1
1040,1.58,1.523,-0.128,-0.525,-1.53,0.027,1.404,1
1041,-2.056,-3.355,3.554,0.904,2.368,0.394,-0.083,1
1042,0.149,-1.498,-0.314,-0.841,3.563,-1.604,1.792,1
1043,0.188,-1.36,-1.873,2.318,-2.954,0.646,-0.199,0
1044,0.519,-0.755,-2.988,-0.589,4.109,0.854,1.09,0
1045,1.181,-2.422,-0.853,2.409,-3.602,-0.806,-1.416,0
1046,-2.6,1.554,-0.301,-0.057,2.261,-1.292,-4.434,1
1047,2.222,-1.458,-1.286,1.48,0.345,-0.099,1.502,1
1048,-0.301,-1.575,0.392,1.161,-1.479,0.48,-0.591,0
1049,1.33,-0.791,-1.284,3.536,-5.814,-2.079,1.387,0
1050,-1.624,-3.772,-1.241,3.858,0.248,-2.94,-0.756,1
1051,2.02,-1.486,-2.332,-0.396,0.013,-0.276,0.019,0
1052,-1.977,1.463,-0.541,-0.01,2.222,-0.566,-3.781,1
1053,-1.158,-1.263,-1.681,0.733,0.187,1.2,-0.243,0
1054,1.512,-3.011,-1.715,3.716,3.471,-2.319,1.048,1
1055,-0.407,-1.173,1.736,1.52,1.629,0.057,-0.484,1
1056,-0.504,-1.496,-3.322,0.799,0.384,2.278,0.992,0
1057,0.755,-2.54,-0.915,2.155,-1.785,0.907,-1.273,0
1058,-2.086,1.274,-0.911,1.511,4.989,-2.112,-4.086,1
1059,-1.415,-2.334,-1.91,0.706,0.752,3.442,-2.304,0
1060,-1.996,1.145,-0.822,2.408,3.784,-1.123,-1.519,1
1061,-0.61,-1.748,0.945,2.448,-0.397,1.177,1.838,1
1062,2.223,-0.231,-5.854,2.016,0.487,5.023,-4.868,0
1063,0.507,0.598,-3.309,2.303,0.307,2.129,1.932,0
1064,-0.537,-0.392,-0.599,0.454,0.794,-0.225,1.217,0
1065,-3.194,2.13,-0.248,-2.621,4.226,4.59,1.529,0
1066,0.265,0.42,-1.408,2.472,-0.617,0.425,1.236,0
1067,-1.318,-0.963,3.439,2.165,-0.763,-1.984,0.64,0
1068,0.967,-0.684,-0.395,1.394,0.678,-1.846,-0.43,1
1069,-1.09,0.377,-2.759,0.646,3.195,1.435,0.86,0
1070,-1.235,-1.119,-1.307,0.97,-0.351,2.788,0.033,0
1071,1.669,-3.592,-2.908,1.599,-0.85,0.752,-1.66,1
1072,-1.334,-2.241,-0.754,2.188,-1.088,-2.193,-1.289,1
1073,-0.125,-2.292,0.954,1.013,-0.671,2.148,-1.419,1
1074,-3.646,-0.24,-0.307,-0.662,-1.194,2.504,-0.625,0
1075,0.721,-4.177,-1.534,2.525,0.407,-0.957,0.061,1
1076,-0.273,0.791,-0.032,1.654,0.042,0.374,2.264,0
1077,-0.501,-2.066,-1.495,-0.033,3.39,0.738,3.23,0
1078,-1.378,-1.095,1.553,2.134,1.706,-0.141,-1.43,1
1079,1.175,-2.023,-0.608,2.111,1.58,-1.604,2.069,1
1080,0.85,-2.722,1.01,4.38,1.998,1.549,0.34,1
1081,-2.23,-0.003,-0.391,3.112,-1.026,-3.981,-2.983,1
1082,-0.879,-0.412,2.143,-0.246,0.653,0.298,-0.55,1
1083,1.084,2.449,-0.832,-0.261,-0.719,-0.575,-0.932,1
1084,0.594,-3.381,-0.878,0.332,-0.773,0.042,0.169,1
1085,2.111,-0.364,-3.463,-0.805,1.549,-0.239,-0.712,0
1086,-0.671,0.12,0.363,0.748,0.778,-2.264,4.179,0
1087,-1.584,-3.113,-2.017,0.832,-0.853,-0.625,-0.759,1
1088,-4.853,-2.164,0.059,0.27,2.207,3.339,3.365,0
1089,-0.485,-1.878,-2.114,1.762,-1.611,3.149,-3.0,0
1090,-1.378,1.907,1.203,-2.177,-1.451,1.139,-1.627,1
1091,1.284,-1.157,-5.248,0.262,4.147,3.807,-1.31,0
1092,-2.083,-0.681,-0.739,2.171,0.62,1.866,-0.467,0
1093,2.322,-4.279,-0.098,-1.534,-4.079,1.011,-4.372,0
1094,-2.073,0.296,-1.833,1.546,0.503,2.399,0.96,0
1095,-1.329,-0.884,0.555,-1.757,-1.232,2.766,-1.489,1
1096,-0.931,-1.13,1.215,-0.593,-1.575,0.26,-1.201,0
1097,1.697,-0.942,-0.009,2.531,-1.16,-1.002,1.821,1
1098,3.602,-1.658,-0.608,2.035,4.056,-1.129,4.125,1
1099,2.583,0.936,-1.431,3.428,3.014,-2.27,1.816,1
1100,-1.639,0.022,-1.885,-0.413,0.059,1.732,-1.437,0
1101,0.289,-3.269,1.799,1.847,0.293,3.093,2.22,1
1102,-2.398,-0.808,1.911,1.567,0.069,0.137,0.277,0
1103,-2.403,-2.02,-2.541,0.67,0.183,2.845,-3.535,0
1104,-0.495,0.804,0.324,0.966,-1.883,-1.003,1.269,0
1105,0.826,-0.792,-0.502,-0.562,0.722,-0.099,2.837,1
1106,2.089,-2.478,0.744,1.949,-0.067,2.452,-1.429,1
1107,-2.317,2.51,0.075,-0.426,1.49,-1.0,-1.874,1
1108,2.729,-2.739,-4.569,3.429,2.388,0.535,0.446,1
1109,0.779,-0.637,0.731,-0.062,1.017,-1.479,2.549,1
1110,-5.975,-0.83,5.539,2.011,1.416,-0.998,5.416,0
1111,0.5,-0.642,-0.886,-0.711,-0.794,0.073,-0.022,1
1112,1.928,-0.071,-1.838,1.706,-2.199,0.443,-0.166,1
1113,-1.385,-2.296,-1.561,0.157,3.616,1.877,1.876,0
1114,2.45,1.373,-0.223,2.736,-0.287,-1.378,2.354,1
1115,-2.361,-1.057,-0.478,-0.023,0.123,2.111,-1.569,0
1116,-1.576,-1.184,2.652,-0.743,-1.851,1.993,1.602,1
1117,-4.498,3.599,-0.51,-1.404,0.995,-1.035,-4.525,1
1118,-0.155,-1.901,2.615,1.091,1.643,0.379,-1.705,1
1119,-3.731,0.734,0.374,1.032,3.31,-1.62,-4.97,1
1120,0.383,0.38,-2.241,2.901,4.192,-2.86,0.193,1
1121,2.688,-4.221,-1.916,1.838,0.66,0.193,-1.219,1
1122,-1.241,-1.258,-1.638,0.487,3.515,1.67,1.963,0
1123,-1.975,0.149,-2.065,0.972,1.01,-1.996,-1.311,1
1124,-4.844,-1.635,1.936,-1.317,0.574,1.536,-3.416,0
1125,1.058,0.248,-1.843,2.498,1.084,1.19,1.703,0
1126,-0.013,-1.843,0.336,1.946,0.273,0.597,-0.772,0
1127,-0.82,-2.353,2.606,0.155,1.299,1.212,-2.831,1
1128,-1.026,-0.072,-1.448,-0.334,1.674,3.023,-0.325,0
1129,-0.02,0.691,-1.931,1.778,0.024,1.926,-2.306,0
1130,1.203,-1.887,-2.552,1.08,3.499,-0.427,2.929,1
1131,0.433,-4.793,0.86,1.658,-1.373,-0.596,-5.057,0
1132,1.534,-3.797,-0.639,1.761,-2.654,0.764,-2.403,0
1133,-1.194,-1.709,1.531,0.915,0.293,0.089,-1.294,0
1134,-0.634,-1.644,-0.635,1.426,-2.044,0.444,-1.228,0
1135,2.778,-0.401,-2.267,2.092,2.563,-0.757,0.099,1
1136,-0.014,-0.116,-0.866,0.559,0.381,2.565,-0.215,1
1137,-1.384,-0.93,1.212,0.166,1.203,0.746,-0.762,1
1138,-2.469,-0.795,1.931,3.513,-1.47,1.328,-1.192,0
1139,-1.233,0.641,0.936,-0.551,-1.827,2.047,-0.171,1
1140,-0.098,-1.75,0.106,1.173,-2.867,0.488,-0.365,0
1141,-2.376,-1.04,0.867,1.091,1.473,1.436,0.245,0
1142,0.773,-3.642,0.778,-0.989,4.431,-1.727,3.051,1
1143,1.328,-0.463,-1.784,0.335,1.6,1.023,-1.746,0
1144,-1.215,-0.989,1.484,1.117,0.176,0.974,-0.255,1
1145,1.682,-1.713,-1.282,1.769,0.038,-0.937,2.822,0
1146,-4.12,-1.75,1.305,1.107,-0.196,0.488,4.21,0
1147,4.264,-2.038,-3.293,2.144,2.024,1.167,1.658,1
1148,3.264,-2.12,-1.688,1.532,1.758,0.047,0.776,1
1149,1.079,-1.35,-0.914,0.044,2.779,-1.162,2.006,1
1150,1.82,-1.174,-2.772,-0.04,-1.438,1.649,-1.099,1
1151,-2.852,-0.298,2.191,-0.621,-1.756,1.391,0.717,1
1152,1.251,-4.183,1.225,0.362,-3.254,0.526,-2.603,0
1153,-2.155,-1.794,-1.102,-0.218,-1.245,2.203,-2.612,0
1154,-0.875,0.012,-0.538,-0.586,2.127,-3.426,6.131,0
1155,-2.771,-1.085,-1.724,1.382,0.189,3.655,0.308,0
1156,0.201,-0.964,-0.827,1.025,-2.597,1.526,0.865,0
1157,0.108,1.736,-0.757,0.162,-1.477,1.783,0.58,1
1158,0.024,-2.216,1.31,1.57,-2.798,-1.29,-1.231,0
1159,0.495,-1.538,-0.203,1.305,-1.376,1.451,0.825,0
1160,1.601,-0.984,0.529,1.661,-0.876,0.767,1.895,0
1161,-0.854,0.217,0.784,-0.094,1.779,-2.469,2.544,0
1162,2.78,-1.913,-1.158,1.897,1.109,-0.558,0.801,1
1163,-2.344,-4.029,0.284,-0.518,-0.544,2.687,-4.922,0
1164,-2.321,-2.171,0.367,-0.146,-0.913,0.935,-3.128,0
1165,-0.792,-0.473,1.087,-1.489,-1.467,3.521,2.135,1
1166,-1.347,-1.263,0.383,-0.219,-2.548,0.793,-1.052,0
1167,-0.922,-2.288,2.112,0.853,0.457,2.058,1.562,1
1168,3.951,-0.042,-5.217,-0.823,1.582,-0.824,1.338,0
1169,0.661,-0.173,-1.293,2.287,-1.046,-1.027,0.461,1
1170,-3.427,-1.289,-1.151,0.018,-0.33,3.944,-1.147,0
1171,-2.178,1.46,1.834,3.119,-1.906,-4.281,1.69,1
1172,-2.48,-1.329,0.883,3.433,0.628,0.524,2.035,1
1173,0.83,-1.06,-4.085,-1.226,3.74,2.824,-1.932,0
1174,-2.43,-1.182,-2.52,-0.754,-0.799,3.182,-2.764,0
1175,0.088,-0.274,2.017,-0.402,4.108,-3.347,3.991,1
1176,-0.91,0.346,1.562,1.747,0.39,-0.386,1.552,0
1177,-2.123,-1.689,2.825,-1.33,0.956,0.773,-4.126,1
1178,1.433,-2.727,0.73,2.166,0.952,2.925,0.366,1
1179,0.631,1.499,-2.008,1.858,-1.193,-1.3,1.02,0
1180,0.605,-0.355,-1.015,0.604,0.896,1.787,0.299,0
1181,0.868,-3.132,0.233,1.269,1.613,-1.995,1.102,1
1182,2.356,-2.572,0.978,1.907,-0.742,2.941,-1.138,1
1183,1.177,2.578,-1.924,4.27,-0.85,-1.799,0.583,1
1184,-2.304,1.878,-0.447,0.323,1.171,-0.821,-2.675,1
1185,-1.723,-1.183,-1.89,-1.06,1.849,5.202,-1.122,0
1186,0.849,-0.232,0.937,-0.873,2.426,-1.888,2.81,1
1187,-0.894,-0.989,-0.378,2.906,-3.118,1.269,-0.585,0
1188,3.49,-3.71,-3.244,2.48,0.062,1.495,-0.436,1
1189,1.103,-2.19,-1.318,1.908,-3.674,0.096,-1.165,0
1190,3.305,-0.366,-5.15,-0.882,4.545,-0.283,1.472,0
1191,-2.918,-1.996,-0.966,1.04,2.499,2.751,2.545,0
1192,1.992,-1.21,-3.084,1.115,-0.131,0.805,-1.072,0
1193,-1.022,-2.653,-0.914,-0.113,2.74,1.203,5.098,0
1194,-2.3,-1.438,0.532,1.935,-0.646,0.216,3.683,0
1195,-4.323,-0.481,3.112,2.472,-1.28,-0.833,5.529,0
1196,-0.42,-1.28,-0.295,1.255,0.008,2.217,0.438,0
1197,-1.127,1.052,0.152,-0.111,2.063,-1.206,-5.05,1
1198,1.859,1.734,0.159,1.245,-1.411,-1.161,0.836,1
1199,1.03,-0.383,-0.316,3.765,-0.708,-1.177,1.632,0
1200,-3.524,-2.087,-1.242,0.306,-0.082,1.571,-4.439,0
1201,2.635,-2.32,0.011,-1.643,5.269,-0.886,2.966,1
1202,-2.337,-0.405,1.365,-0.801,2.657,-1.812,3.889,0
1203,-1.328,-3.51,1.18,1.845,-2.361,-0.454,-3.131,0
1204,-1.424,-1.866,1.358,1.83,3.361,-0.072,-2.372,1
1205,-2.947,2.162,-2.606,-0.965,-0.018,3.267,1.304,0
1206,1.651,0.265,-2.468,0.17,4.079,0.413,-1.131,0
1207,1.079,1.748,-0.467,0.974,-1.773,-0.542,1.224,1
1208,2.812,-1.698,-0.118,2.587,-0.564,1.577,-0.745,1
1209,-1.871,-1.336,0.278,1.9,2.509,0.414,0.244,1
1210,-0.017,0.38,-1.511,1.756,1.646,2.255,1.907,0
1211,-3.06,-1.133,2.587,-0.502,1.687,0.537,-1.396,1
1212,-1.973,-3.83,5.613,2.102,2.535,0.224,1.643,1
1213,-4.082,-0.571,2.917,1.227,0.49,-0.499,2.71,0
1214,0.04,-1.633,0.316,-0.601,3.664,-1.832,3.405,0
1215,-3.777,1.225,-2.385,1.196,-0.389,1.615,0.15,0
1216,1.718,-1.92,-0.109,1.295,2.474,-1.308,3.638,1
1217,-2.06,-0.513,-1.204,-1.743,1.256,2.742,-2.517,0
1218,2.961,-4.55,-2.84,1.503,3.757,0.129,0.674,1
1219,-0.902,-1.117,1.617,-0.003,0.872,1.616,-0.213,1
1220,-1.732,-2.932,-0.751,-0.407,0.65,-1.158,0.636,1
1221,-1.38,-0.521,3.336,0.144,2.514,-0.467,-0.031,0
1222,0.185,-3.971,3.021,0.148,0.071,2.992,0.674,1
1223,1.349,-0.734,1.389,-0.467,4.524,-2.426,3.619,1
1224,0.142,-2.816,-3.161,1.188,-0.353,0.262,-2.59,1
1225,-0.672,-0.93,1.396,1.679,0.346,1.928,1.437,1
1226,1.916,-0.437,-1.955,2.937,-1.999,-0.004,1.544,0
1227,-0.917,-0.951,-0.256,0.485,3.903,-0.302,1.892,0
1228,1.128,-2.29,-2.122,3.137,0.169,-0.873,0.365,1
1229,0.695,0.605,-0.362,1.889,-0.55,-1.138,-0.533,0
1230,-0.04,-1.506,-1.037,2.139,-0.595,-1.3,-2.734,0
1231,-1.745,-2.98,0.093,-0.842,-0.801,1.93,-4.369,0
1232,-3.086,-1.986,-0.527,0.979,2.205,1.298,6.172,0
1233,-1.222,-1.39,-1.323,1.738,-2.176,-0.064,-1.827,0
1234,-0.799,-0.028,0.812,1.756,-0.786,-0.925,0.45,0
1235,0.574,-0.24,-4.04,2.889,-1.155,1.701,0.822,0
1236,0.586,-1.273,-2.43,1.805,-2.514,0.563,-1.075,0
1237,0.955,-3.638,-0.728,0.327,0.456,-0.581,-0.97,1
1238,-2.601,-1.697,-4.184,1.086,-1.327,2.323,-4.368,0
1239,0.571,-1.671,-1.163,2.191,-3.082,0.676,0.271,0
1240,0.025,-1.54,-0.711,0.611,2.31,0.351,0.672,1
1241,0.699,-0.565,-1.66,3.076,0.285,-1.619,-0.029,1
1242,-1.662,-2.047,1.485,-1.047,-1.814,0.318,-2.779,0
1243,-0.277,-2.278,1.073,1.185,-2.922,-1.27,-0.032,1
1244,-2.134,-4.316,3.244,1.29,1.393,1.418,-0.393,1
1245,0.457,-3.741,3.264,3.426,-3.963,-2.854,-1.002,0
1246,1.92,-1.659,-0.232,0.954,5.247,-2.351,2.81,1
1247,-0.376,-0.944,-0.505,0.505,1.799,-0.213,0.624,0
1248,0.015,-3.912,4.235,-0.435,0.021,2.601,-1.294,1
1249,-2.299,-0.675,0.806,-0.012,2.188,-2.034,5.373,0
1250,0.847,0.866,0.455,1.215,0.766,-2.128,2.667,1
1251,-0.99,-2.004,-0.192,1.606,-0.656,1.417,0.094,0
1252,-1.692,-1.015,-0.379,0.987,1.37,0.746,1.87,0
1253,1.978,-1.433,-3.766,1.904,0.92,0.502,-0.455,1
1254,-1.876,-1.548,2.174,2.341,2.149,-0.06,0.537,1
1255,-1.082,-0.947,-2.298,1.039,0.809,2.077,-1.423,0
1256,1.719,-1.715,-2.596,2.767,-1.234,1.658,-0.477,0
1257,2.187,-1.288,-1.43,2.635,-4.211,-2.802,-1.218,0
1258,-0.083,1.302,-0.899,2.05,-0.783,0.723,-4.496,0
1259,1.357,0.448,-1.53,0.037,-1.507,2.685,-3.533,1
1260,-0.351,2.517,-3.492,0.309,0.166,1.797,-1.046,1
1261,1.269,0.161,-2.579,1.979,0.842,-0.609,0.625,1
1262,1.904,-0.459,-0.352,-2.088,4.748,-0.799,2.378,1
1263,0.861,-2.129,-3.909,0.06,1.427,2.428,-0.297,0
1264,-3.003,0.326,2.897,1.361,2.668,-1.389,-1.738,1
1265,2.186,-3.294,1.589,1.506,3.936,-3.002,2.658,1
1266,-2.011,-1.427,-2.335,1.302,0.143,3.923,0.018,0
1267,-0.818,-1.493,-0.343,1.581,-0.308,-0.144,2.024,0
1268,-0.737,-1.878,-0.919,1.222,2.157,-2.432,-0.842,1
1269,-1.945,0.636,-3.931,0.158,-1.259,3.182,-0.227,0
1270,-0.902,-1.32,2.429,0.131,0.811,-0.136,-0.932,0
1271,-3.787,0.532,-0.384,-0.647,0.057,0.723,-1.637,0
1272,-2.214,0.498,1.216,3.85,-0.013,-4.852,2.153,1
1273,-0.485,-1.152,-1.851,0.471,2.279,-0.085,2.91,0
1274,-2.441,0.394,-1.314,0.707,3.522,2.947,0.172,0
1275,-2.513,-0.999,-1.394,-0.222,0.137,2.894,-1.79,0
1276,-1.217,-0.612,0.035,2.174,2.779,0.255,2.698,0
1277,0.658,-4.708,3.752,2.719,1.211,2.383,2.008,1
1278,-0.154,0.843,-1.567,-0.453,-0.722,0.353,1.623,1
1279,2.14,-4.762,2.831,0.964,-0.337,3.124,-1.466,1
1280,-0.66,-1.102,-1.401,0.352,2.042,0.383,3.381,0
1281,-0.783,-2.637,-2.195,0.398,-1.503,1.09,-4.576,0
1282,0.275,0.924,-1.63,1.266,-1.537,-0.441,0.039,1
1283,2.595,-4.535,0.909,5.56,2.375,2.393,2.031,1
1284,3.051,-0.24,-4.619,-0.507,1.611,0.707,-1.964,0
1285,-1.17,-1.054,-2.571,-0.645,-1.246,0.89,-3.802,1
1286,0.039,-2.903,-3.513,1.226,3.443,4.494,0.438,0
1287,-3.391,-0.499,1.341,1.466,1.971,0.353,2.295,0
1288,3.284,-4.399,-3.471,1.174,-0.683,2.027,-2.55,1
1289,-0.015,-0.23,-1.447,0.233,-0.478,1.299,-0.366,0
1290,-1.163,-3.758,1.442,1.02,-0.858,2.219,-1.696,0
1291,0.671,-3.622,2.778,1.818,1.166,1.895,0.324,1
1292,-0.012,-0.239,-1.908,0.543,0.144,0.136,-0.396,0
1293,-2.012,-1.083,-0.885,-0.503,1.823,1.704,0.286,0
1294,-1.698,-1.792,-1.333,0.106,0.586,2.302,-2.857,0
1295,-3.624,-1.645,3.327,-0.022,0.692,-0.196,-2.171,1
1296,-0.838,-0.332,-1.161,2.86,1.08,0.595,0.113,1
1297,0.452,-3.783,2.451,2.415,0.516,2.485,1.765,1
1298,-1.994,0.289,1.146,1.176,2.813,-1.168,-3.437,1
1299,-1.901,-2.561,-3.748,0.979,-0.659,2.999,-4.198,0
1300,-1.232,-1.391,2.046,0.262,0.634,1.481,-2.513,1
1301,4.123,-1.652,-0.554,3.839,-3.748,-3.931,-0.333,0
1302,-2.135,0.94,-4.204,0.656,-0.222,3.095,-0.09,0
1303,-0.794,-1.077,-2.227,0.893,1.164,1.833,0.329,0
1304,0.168,-1.889,-0.224,2.782,1.468,-2.796,0.486,1
1305,-4.773,0.873,4.009,3.184,-1.402,-1.918,2.771,0
1306,-3.178,-1.022,0.753,1.323,-1.118,0.701,1.762,0
1307,-2.389,0.782,0.748,-0.198,0.93,-0.628,-1.833,1
1308,-1.932,-2.631,0.854,-0.248,-3.76,1.552,-1.681,0
1309,-2.027,-0.165,1.383,0.498,0.962,0.296,0.017,1
1310,-0.014,-2.205,-0.552,0.806,-1.713,0.735,-2.192,0
1311,-3.494,1.06,0.57,-0.484,3.339,-0.601,-1.563,1
1312,1.529,-1.16,-2.958,2.108,-2.585,0.857,-1.074,1
1313,-2.232,-3.123,-0.051,1.844,-1.607,1.515,-2.556,0
1314,-5.016,-1.95,3.213,2.778,0.832,0.04,3.597,0
1315,-1.234,-1.14,0.632,1.231,0.727,1.247,-1.098,1
1316,1.104,-4.586,3.405,3.27,0.209,2.869,4.334,1
1317,3.014,-4.785,1.668,2.511,-1.165,4.168,2.006,0
1318,-2.918,-1.021,-1.722,1.31,-0.443,5.067,-1.027,0
1319,0.303,-1.758,-3.601,0.63,0.566,2.893,-1.486,0
1320,-0.647,-0.645,-0.69,0.245,2.865,-0.865,2.475,0
1321,-1.09,-2.942,0.078,1.548,-1.717,1.523,-1.852,0
1322,-0.789,-0.504,0.457,1.883,1.165,-0.042,0.903,0
1323,-0.244,-1.603,-1.052,0.951,1.634,-1.731,1.042,1
1324,0.63,0.856,-1.274,0.354,0.396,-0.204,0.174,0
1325,-0.083,1.374,-1.092,-0.641,0.976,0.854,-3.776,1
1326,1.922,0.541,-3.653,2.268,-0.222,0.909,-0.823,0
1327,2.537,-2.353,-0.204,0.651,-1.201,4.319,0.582,1
1328,1.096,-0.616,-5.555,3.217,-0.75,2.275,-0.2,0
1329,-0.062,-1.272,-1.614,4.551,-2.93,-1.312,0.124,0
1330,0.641,-0.812,-2.54,1.625,-1.645,0.407,-0.933,0
1331,0.4,-2.282,-2.345,3.602,-3.314,0.169,-1.079,0
1332,0.519,0.494,-4.359,0.203,0.264,2.968,-0.223,0
1333,-2.408,-1.345,-0.981,1.393,-3.097,0.799,-1.414,0
1334,-0.247,0.114,-1.105,-0.275,2.531,-1.436,1.436,0
1335,2.537,-3.908,-2.411,2.585,0.219,0.455,0.873,1
1336,-0.75,1.688,0.184,2.008,0.809,0.269,1.122,1
1337,1.036,-1.129,0.954,-0.069,-2.474,3.769,-0.466,1
1338,-2.385,-2.367,-1.601,1.851,1.759,1.508,-3.873,0
1339,0.612,-3.353,-0.636,1.038,1.838,-1.63,-0.089,1
1340,0.862,-1.645,0.202,1.099,-0.818,3.29,-0.382,1
1341,2.182,-3.756,0.044,0.014,4.854,-0.719,4.674,1
1342,-0.257,-0.003,-2.37,-1.455,1.523,3.646,-0.769,0
1343,-1.581,0.392,0.227,-1.6,-0.202,2.07,-2.058,1
1344,-1.298,-1.731,-0.191,1.337,-2.275,-1.749,-3.32,0
1345,-1.433,-1.699,2.421,0.884,1.589,0.218,-0.601,1
1346,1.831,-1.393,0.37,0.658,-2.306,3.59,0.924,1
1347,0.581,-0.232,0.326,1.838,0.003,-1.226,0.665,0
1348,1.249,-1.054,-3.041,0.73,0.839,2.154,-1.495,0
